"passage_kode";"passage";"aktiv";"begrebsdefinition"
1;"Faunabro";1;"Anlægges med en bredde og størrelse med mulighed for beplantning, hvorved vilkårene for dyrene ikke ændres afgørende i forhold til landskabet på begge sider af vejen under passagen"
2;"Faunarør";1;"Underføring under vej m.v. Betjener hovedsageligt smådyr. Også kaldt dyretunnel, men omfatter ikke paddetunnel. (Har egen kode.)"
3;"Fisketrappe, andet";1;"Kunstigt anlagt vandløbsforløb ved om en spærring f.eks. en dæmning uden det er med kammer, modstrømstrappe eller zigzag."
4;"Fisketrappe, kammer";1;"Kunstigt anlagt vandløbsforløb ved om en spærring f.eks. en dæmning opbygget med kammer/bassiner hvor vand strømmer igennem, men der også er ret stille vand/hvilepladser til fisk m.v."
5;"Fisketrappe, modstrøm";1;"Kunstigt anlagt vandløbsforløb ved om en spærring f.eks. en dæmning, hvor der typisk er en lang lige rende med kraftig modstrøm."
6;"Fisketrappe, zigzag";1;"Kunstigt anlagt vandløbsforløb ved om en spærring f.eks. en dæmning, hvor vandet zigzag'er ned og stømhastigheden derved sættes ned og giver mulighed for korte hvil under passage."
7;"Odderpassage, andet";1;"Tørpassage langs vandløbet ved vejbroer m.v. hvor det er en anden løsning end flydebro, hængebro eller banket."
8;"Odderpassage, Flydebro";1;"Tørpassage langs vandløbet ved vejbroer m.v. hvor den flyder på vandet."
9;"Odderpassage, Hængebro";1;"Tørpassage langs vandløbet ved vejbroer m.v. hvor den hænger fast på siden af broen."
10;"Odderpassage, Banket";1;"Tørpassage langs vandløbet ved vejbroer m.v. hvor der er en fast banket/kant langs broen."
11;"Omløbsstryg";1;"Kunstigt anlagt vandløbsforløb uden om en spærring med en meget kraftig snoning og stort fald over kort strækning. Typiske med natursten i bunden og sider for at holde opbygning."
12;"Paddetunnel";1;"Underføring under vej til padder - typisk i rør."
13;"Stryg";1;"Stryg er et sted på en å hvor gruset vaskes rent. Her er der ofte også meget lavvandet og med god strøm."
14;"Ålepas";1;"Et rør eller en trækasse med fyldmateriale som giver ålen passage op ad vandløbet ved f.eks. et styrt."
98;"Anden passage";1;"Passagen hvor andet ikke er dækkende."
99;"Ukendt passage";1;"Fået oplyst der er en passage, men arten er ukendt. Typisk fra borger eller gammelt register."