"soe_type_kode";"soe_type";"aktiv";"begrebsdefinition"
1;"1 - Kalkfattig, klarvandet, fersk og lav";1;"Kalkfattig, klarvandet, fersk og lav"
2;"2 - Kalkfattig, klarvandet, fersk og dyb";1;"Kalkfattig, klarvandet, fersk og dyb"
3;"3 - Kalkfattig, klarvandet, brak og lav";1;"Kalkfattig, klarvandet, brak og lav"
4;"4 - Kalkfattig, klarvandet, brak og dyb";1;"Kalkfattig, klarvandet, brak og dyb"
5;"5 - Kalkfattig, brunvandet, fersk og lav";1;"Kalkfattig, brunvandet, fersk og lav"
6;"6 - Kalkfattig, brunvandet, fersk og dyb";1;"Kalkfattig, brunvandet, fersk og dyb"
7;"7 - Kalkfattig, brunvandet, brak og lav";1;"Kalkfattig, brunvandet, brak og lav"
8;"8 - Kalkfattig, brunvandet, brak og dyb";1;"Kalkfattig, brunvandet, brak og dyb"
9;"9 - Kalkrig, klarvandet, fersk og lav";1;"Kalkrig, klarvandet, fersk og lav"
10;"10 - Kalkrig, klarvandet, fersk og dyb";1;"Kalkrig, klarvandet, fersk og dyb"
11;"11 - Kalkrig, klarvandet, brak og lav";1;"Kalkrig, klarvandet, brak og lav"
12;"12 - Kalkrig, klarvandet, brak og dyb";1;"Kalkrig, klarvandet, brak og dyb"
13;"13 - Kalkrig, brunvandet, fersk og lav";1;"Kalkrig, brunvandet, fersk og lav"
14;"14 - Kalkrig, brunvandet, fersk og dyb";1;"Kalkrig, brunvandet, fersk og dyb"
15;"15 - Kalkrig, brunvandet, brak og lav";1;"Kalkrig, brunvandet, brak og lav"
16;"16 - Kalkrig, brunvandet, brak og dyb";1;"Kalkrig, brunvandet, brak og dyb"
99;"Ukendt";1;"Mangler viden om søtype"