"pleje_type_kode";"pleje_type";"aktiv";"pleje_type_label";"begrebsdefinition"
1;"1. gangs rydning + græsning";1;"NP01";"Rydning af træer og buske for at genoprette lysåben tilstand samt efterfølgende græsning."
2;"1. gangs rydning";1;"NP02";"Rydning af træer og buske for at genoprette lysåben tilstand."
3;"Græsning";1;"NP03";"Indhegnet område med dyr, der afgræsser området. F.eks. får, heste eller kreaturer eller en blanding af flere dyrearter."
4;"Slåning";1;"NP04";"Typisk med en brakpudser eller en stor græsklipper. Slår græs, buske og små træer"
5;"Slåning af gyvel";1;"NP05";"Slåning af gyvel med brakpudser hvert 2. år."
6;"Nedskæring af vedplanter";1;"NP06";"Træer og buske fældes/skæres ned."
7;"Plukhugst og stævning";1;"NP07";"Fældning af større eller mindre træer, hvorefter området forynges ved genopvækst og selvsåede planter."
8;"Afbrænding";1;"NP08";"Typisk afbrænding af lyng på heder for at forynge/bibeholde lyngdækket på sigt."
9;"Vedligehold";1;"NP09";"Vedligeholdelse af diverse publikumsfaciliteter. F.eks. toiletter, shelters, borde/bænke og stier i området."
11;"Pleje af fortidsminder, sommer";1;"NP11";"Slåning af græs, urter og vedplanter 2 gange i vækstsæsonen."
12;"Pleje af fortidsminder, vinter";1;"NP12";"Slåning af høje urter og vedplanter i vinterhalvåret."
13;"Vandstandshævning";1;"NP13";"Hævning af vandstand for at genoprette oprindelig tilstand."
14;"Græsningsaftaler";1;"NP14";"Aftale med landmand m.v. om at området bliver afgræsset."
15;"Vedligehold rydning";1;"NP15";"Den efterfølgende vedligeholdelse efter en rydning, så det ikke gro til igen."
16;"Vedligehold sti";1;"NP16";"Vedligeholdelses kun af stier i området."
17;"Anlæg af ny sø";1;"NP17";"Anlæg af ny sø. F.eks. med formål at skabe levesteder for særlig truede dyr og"
18;"Oprensning af sø";1;"NP18";"Oprensning af slam/dynd og plantevækst fra eksisterende sø. F.eks. med formål at forbedre forholligt truede dyr og planter"
98;"Andet";1;"NP98";"Andet"
99;"Ukendt";1;"NP99";"Ukendt"